Package,LibPath,Version,Priority,Built
assertthat,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.0,NA,3.4.0
backports,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.1,NA,3.4.2
base,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
base64enc,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1-3,NA,3.4.0
BH,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.65.0-1,NA,3.4.1
bindr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1,NA,3.4.0
bindrcpp,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2,NA,3.4.0
bit,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1-12,NA,3.4.0
bitops,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0-6,NA,3.4.0
blogdown,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2,NA,3.4.2
bookdown,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.5,NA,3.4.1
boot,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3-20,recommended,3.4.2
brew,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0-6,NA,3.4.0
broom,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4.2,NA,3.4.0
car,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.1-6,NA,3.4.3
caret,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,6.0-78,NA,3.4.3
caTools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.17.1,NA,3.4.0
cellranger,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.0,NA,3.4.0
class,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,7.3-14,recommended,3.4.2
classInt,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1-24,NA,3.4.0
cli,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.0,NA,3.4.2
clipr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4.0,NA,3.4.2
clisymbols,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2.0,NA,3.4.0
cluster,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.0.6,recommended,3.4.2
coda,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.19-1,NA,3.4.0
codetools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2-15,recommended,3.4.2
colorspace,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3-2,NA,3.4.0
compiler,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
corrplot,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.84,NA,3.4.2
crayon,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3.4,NA,3.4.1
crosstalk,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.0,NA,3.4.0
curl,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.0,NA,3.4.2
CVST,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2-1,NA,3.4.0
data.table,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.10.4-3,NA,3.4.2
datasets,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
DBI,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.7,NA,3.4.0
ddalpha,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3.1,NA,3.4.2
debugme,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.0,NA,3.4.2
deldir,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1-14,NA,3.4.0
DEoptimR,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0-8,NA,3.4.0
desc,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.1,NA,3.4.1
devtools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.13.3,NA,3.4.1
dichromat,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.0-0,NA,3.4.0
digest,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.6.13,NA,3.4.3
dimRed,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.0,NA,3.4.0
dplyr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.7.4,NA,3.4.2
DRR,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.0.2,NA,3.4.0
e1071,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.6-8,NA,3.4.0
ellipse,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3-8,NA,3.4.0
emo,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.0.0.9000,NA,3.4.2
enc,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1,NA,3.4.2
evaluate,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.10.1,NA,3.4.1
expm,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.999-2,NA,3.4.0
FactoMineR,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.39,NA,3.4.2
fastmatch,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1-0,NA,3.4.0
ff,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.2-13,NA,3.4.0
ffbase,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.12.3,NA,3.4.0
flashClust,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.01-2,NA,3.4.0
forcats,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.0,NA,3.4.0
foreach,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.4.4,NA,3.4.3
foreign,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.8-69,recommended,3.4.2
fs,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.0,NA,3.4.2
gdalUtils,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.0.1.7,NA,3.4.0
gdata,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.18.0,NA,3.4.0
geojson,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.0,NA,3.4.2
geojsonio,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.5.0,NA,3.4.2
geojsonlint,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.0,NA,3.4.0
geosphere,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.5-7,NA,3.4.2
ggdendro,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1-20,NA,3.4.0
ggforce,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.1,NA,3.4.0
ggformula,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.6,NA,3.4.1
ggplot2,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.2.1.9000,NA,3.4.2
ggraph,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.1,NA,3.4.2
ggrepel,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.7.0,NA,3.4.2
gh,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.1,NA,3.4.1
git2r,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.19.0,NA,3.4.1
glue,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2.0,NA,3.4.2
gmodels,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.16.2,NA,3.4.0
gower,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.2,NA,3.4.0
graphics,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
grDevices,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
grid,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
gridExtra,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.3,NA,3.4.1
gtable,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.0,NA,3.4.0
gtools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.5.0,NA,3.4.0
gutenbergr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.3,NA,3.4.1
haven,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.0,NA,3.4.1
highr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.6,NA,3.4.0
hms,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3,NA,3.4.0
htmltools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3.6,NA,3.4.0
htmlwidgets,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.9,NA,3.4.1
httpuv,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3.5,NA,3.4.1
httr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3.1,NA,3.4.1
hunspell,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.6,NA,3.4.1
igraph,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.2,NA,3.4.1
ini,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3.0,NA,3.4.2
ipred,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.9-6,NA,3.4.0
irlba,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.3.2,NA,3.4.3
ISLR,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2,NA,3.4.2
iterators,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.9,NA,3.4.3
janeaustenr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.5,NA,3.4.2
jqr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.0,NA,3.4.2
jsonlite,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.5,NA,3.4.0
jsonvalidate,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.0,NA,3.4.0
kableExtra,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.6.0,NA,3.4.2
kernlab,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.9-25,NA,3.4.0
KernSmooth,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.23-15,recommended,3.4.2
knitr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.17,NA,3.4.1
labeling,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3,NA,3.4.0
lattice,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.20-35,recommended,3.4.2
latticeExtra,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.6-28,NA,3.4.0
lava,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.5.1,NA,3.4.2
lazyeval,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.1,NA,3.4.2
leaflet,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.0,NA,3.4.0
leaps,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.0,NA,3.4.0
LearnBayes,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.15,NA,3.4.0
lme4,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1-14,NA,3.4.2
lubridate,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.7.1,NA,3.4.2
magrittr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.5,NA,3.4.0
maptools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.9-2,NA,3.4.0
mapview,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.2.0,NA,3.4.2
markdown,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.8,NA,3.4.0
MASS,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,7.3-47,recommended,3.4.2
Matrix,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2-11,recommended,3.4.2
MatrixModels,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4-1,NA,3.4.0
memoise,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.0,NA,3.4.0
methods,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
mgcv,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.8-20,recommended,3.4.2
mice,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.46.0,NA,3.4.2
mime,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.5,NA,3.4.0
miniUI,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.1,NA,3.4.2
minqa,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2.4,NA,3.4.0
missMDA,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.11,NA,3.4.0
mnormt,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.5-5,NA,3.4.0
ModelMetrics,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.0,NA,3.4.0
modelr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.1,NA,3.4.1
mosaic,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.0,NA,3.4.1
mosaicCore,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4.0,NA,3.4.1
mosaicData,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.14.0,NA,3.4.0
munsell,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4.3,NA,3.4.0
mvtnorm,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0-6,NA,3.4.0
nlme,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.1-131,recommended,3.4.2
nloptr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.4,NA,3.4.0
nnet,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,7.3-12,recommended,3.4.2
numDeriv,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2016.8-1,NA,3.4.0
openssl,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.9.7,NA,3.4.1
osmar,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1-7,NA,3.4.0
parallel,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
pbkrtest,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4-7,NA,3.4.0
pdftools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.5,NA,3.4.2
pkgconfig,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.0.1,NA,3.4.0
plogr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1-1,NA,3.4.0
plyr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.8.4,NA,3.4.0
png,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1-7,NA,3.4.0
processx,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.0.0.1,NA,3.4.1
prodlim,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.6.1,NA,3.4.0
protolite,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.7,NA,3.4.1
psych,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.7.8,NA,3.4.2
purrr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.4,NA,3.4.2
quantreg,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,5.34,NA,3.4.2
R.methodsS3,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.7.1,NA,3.4.0
R.oo,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.21.0,NA,3.4.0
R.utils,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.6.0,NA,3.4.2
R6,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.2.2,NA,3.4.0
randomForest,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,4.6-12,NA,3.4.0
ranger,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.8.0,NA,3.4.1
raster,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.6-7,NA,3.4.2
RColorBrewer,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1-2,NA,3.4.0
Rcpp,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.12.14,NA,3.4.3
RcppEigen,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3.3.3.1,NA,3.4.3
RcppRoll,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.2,NA,3.4.0
RCurl,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.95-4.8,NA,3.4.0
readr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.1,NA,3.4.0
readstata13,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.9.0,NA,3.4.0
readxl,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.0,NA,3.4.0
recipes,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.1,NA,3.4.3
rematch,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.1,NA,3.4.0
rematch2,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.0.1,NA,3.4.1
reshape2,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.4.3,NA,3.4.3
rgdal,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2-16,NA,3.4.3
rgeos,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3-26,NA,3.4.2
rlang,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.4,NA,3.4.2
rmapshaper,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3.0,NA,3.4.1
rmarkdown,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.6,NA,3.4.0
robustbase,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.92-8,NA,3.4.2
rpart,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,4.1-11,recommended,3.4.2
rprojroot,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2,NA,3.4.0
rstudioapi,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.7,NA,3.4.1
rvest,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3.2,NA,3.4.0
satellite,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.1,NA,3.4.2
scales,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.5.0.9000,NA,3.4.2
scatterplot3d,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3-40,NA,3.4.0
selectr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3-1,NA,3.4.0
servr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.8,NA,3.4.2
sf,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.5-5,NA,3.4.2
sfsmisc,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1-1,NA,3.4.0
shiny,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.5,NA,3.4.1
slam,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1-40,NA,3.4.0
SnowballC,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.5.1,NA,3.4.0
sourcetools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.6,NA,3.4.0
sp,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2-5,NA,3.4.1
SparseM,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.77,NA,3.4.0
spatial,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,7.3-11,recommended,3.4.2
spData,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.6.7,NA,3.4.3
spdep,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.7-4,NA,3.4.3
splines,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
spotifyr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.0.0.9000,NA,3.4.2
stats,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
stats4,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
stringi,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.5,NA,3.4.0
stringr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2.0,NA,3.4.0
styler,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.0,NA,3.4.3
survival,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.41-3,recommended,3.4.2
tabplot,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3-1,NA,3.4.0
tcltk,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
tibble,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3.4,NA,3.4.1
tidyr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.7.2,NA,3.4.2
tidyselect,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.2,NA,3.4.2
tidytext,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.4,NA,3.4.2
tidyverse,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.1,NA,3.4.0
timeDate,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3042.101,NA,3.4.2
tmap,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.11,NA,3.4.3
tmaptools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2-2,NA,3.4.3
tokenizers,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.4,NA,3.4.0
tools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
triebeard,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3.0,NA,3.4.0
tweenr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.5,NA,3.4.0
udunits2,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.13,NA,3.4.0
units,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4-6,NA,3.4.1
urltools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.6.0,NA,3.4.0
USAboundaries,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3.0,NA,3.4.1
USAboundariesData,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3.0,NA,3.4.2
usethis,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2.0,NA,3.4.3
utils,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
V8,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.5,NA,3.4.0
viridis,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4.0,NA,3.4.0
viridisLite,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.0,NA,3.4.0
webshot,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.5.0,NA,3.4.3
whisker,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3-2,NA,3.4.0
withr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.1.0.9000,NA,3.4.2
wordcloud,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.5,NA,3.4.0
xgboost,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.6-4,NA,3.4.0
XML,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.98-1.9,NA,3.4.1
xml2,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.1,NA,3.4.0
xtable,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.8-2,NA,3.4.0
yaml,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.1.14,NA,3.4.0
